
                             - The Restaurant -                             

Chf      Wtr      Std1     Std2     Std3     Std4     Std5     Std6     Std7     
DeTP     WFP      CWC      CWC      CWC      CWC      CWC      CWC      CWC      
DiTP     WFP      CWC      CWC      CWC      CWC      CWC      CWC      CWC      
DeTP     WFP      CWC      CWC      CWC      CWC      CWC      CWC      CWC      
DiTP     WFP      CWC      CWC      CWC      CWC      CWC      CWC      CWC      
DeTP     WFP      CWC      CWC      CWC      CWC      CWC      CWC      CWC      
DiTP     WFP      CWC      CWC      CWC      CWC      CWC      CWC      CWC      
DeTP     WFP      CWC      CWC      CWC      CWC      CWC      CWC      CWC      
Course no.3
PTC      WFP      CWC      CWC      CWC      CWC      CWC      CWC      CWC      
PTC      WFP      CWC      CWC      CWC      ETM      CWC      CWC      CWC      
PTC      AS       CWC      CWC      CWC      ETM      CWC      CWC      CWC      
PTC      AS       CWC      CWC      CWC      ETM      CWC      ETM      CWC      
PTC      AS       CWC      ETM      CWC      ETM      CWC      ETM      CWC      
PTC      AS       ETM      ETM      CWC      ETM      CWC      ETM      CWC      
PTC      AS       ETM      ETM      CWC      ETM      ETM      ETM      CWC      
PTC      AS       ETM      ETM      CWC      ETM      ETM      ETM      ETM      
PTC      AS       ETM      ETM      ETM      ETM      ETM      ETM      ETM      
PTC      AS       ETM      ETM      CWC      ETM      ETM      ETM      ETM      
PTC      AS       ETM      ETM      CWC      ETM      ETM      ETM      CWC      
PTC      AS       ETM      ETM      CWC      ETM      CWC      ETM      CWC      
PTC      AS       CWC      ETM      CWC      ETM      CWC      ETM      CWC      
PTC      AS       CWC      CWC      CWC      ETM      CWC      ETM      CWC      
PTC      AS       CWC      CWC      CWC      ETM      CWC      CWC      CWC      
PTC      AS       CWC      CWC      CWC      CWC      CWC      CWC      CWC      
DiTP     AS       CWC      CWC      CWC      CWC      CWC      CWC      CWC      
DeTP     AS       CWC      CWC      CWC      CWC      CWC      CWC      CWC      
DeTP     WFP      CWC      CWC      CWC      CWC      CWC      CWC      CWC      
DiTP     WFP      CWC      CWC      CWC      CWC      CWC      CWC      CWC      
DeTP     WFP      CWC      CWC      CWC      CWC      CWC      CWC      CWC      
DiTP     WFP      CWC      CWC      CWC      CWC      CWC      CWC      CWC      
DeTP     WFP      CWC      CWC      CWC      CWC      CWC      CWC      CWC      
DiTP     WFP      CWC      CWC      CWC      CWC      CWC      CWC      CWC      
DeTP     WFP      CWC      CWC      CWC      CWC      CWC      CWC      CWC      
DiTP     WFP      CWC      CWC      CWC      CWC      CWC      CWC      CWC      
DeTP     WFP      CWC      CWC      CWC      CWC      CWC      CWC      CWC      
DiTP     WFP      CWC      CWC      CWC      CWC      CWC      CWC      CWC      
DeTP     WFP      CWC      CWC      CWC      CWC      CWC      CWC      CWC      
DiTP     WFP      CWC      CWC      CWC      CWC      CWC      CWC      CWC      
DeTP     WFP      CWC      CWC      CWC      CWC      CWC      CWC      CWC      
CS       WFP      CWC      CWC      CWC      CWC      CWC      CWC      CWC      
CS       WFP      CWC      CWC      CWC      ETM      CWC      CWC      CWC      
CS       AS       CWC      CWC      CWC      ETM      CWC      CWC      CWC      
CS       AS       CWC      CWC      CWC      ETM      CWC      ETM      CWC      
CS       AS       CWC      ETM      CWC      ETM      CWC      ETM      CWC      
CS       AS       ETM      ETM      CWC      ETM      CWC      ETM      CWC      
CS       AS       ETM      ETM      CWC      ETM      ETM      ETM      CWC      
CS       AS       ETM      ETM      CWC      ETM      ETM      ETM      ETM      
CS       AS       ETM      ETM      ETM      ETM      ETM      ETM      ETM      
CS       AS       ETM      ETM      CWC      ETM      ETM      ETM      ETM      
