
                             - The Restaurant -                             

Chf      Wtr      Std1     Std2     Std3     Std4     Std5     Std6     Std7     
DiTP     WFP      CWC      CWC      CWC      CWC      CWC      CWC      CWC      
DeTP     WFP      CWC      CWC      CWC      CWC      CWC      CWC      CWC      
DiTP     WFP      CWC      CWC      CWC      CWC      CWC      CWC      CWC      
DeTP     WFP      CWC      CWC      CWC      CWC      CWC      CWC      CWC      
DiTP     WFP      CWC      CWC      CWC      CWC      CWC      CWC      CWC      
DiTP     WFP      CWC      CWC      CWC      CWC      CWC      CWC      ETM      
DiTP     AS       CWC      CWC      CWC      CWC      CWC      CWC      ETM      
DeTP     AS       CWC      CWC      CWC      CWC      CWC      CWC      ETM      
DeTP     AS       CWC      CWC      ETM      CWC      CWC      CWC      ETM      
Course no.3
DeTP     AS       CWC      CWC      ETM      ETM      CWC      CWC      ETM      
PTC      AS       CWC      CWC      ETM      ETM      CWC      CWC      ETM      
PTC      AS       ETM      CWC      ETM      ETM      CWC      CWC      ETM      
PTC      AS       ETM      CWC      ETM      ETM      CWC      ETM      ETM      
PTC      AS       ETM      ETM      ETM      ETM      CWC      ETM      ETM      
PTC      AS       ETM      ETM      ETM      ETM      ETM      ETM      ETM      
PTC      AS       ETM      CWC      ETM      ETM      ETM      ETM      ETM      
PTC      AS       ETM      CWC      ETM      ETM      ETM      CWC      ETM      
PTC      AS       CWC      CWC      ETM      ETM      ETM      CWC      ETM      
PTC      AS       CWC      CWC      ETM      CWC      ETM      CWC      ETM      
PTC      AS       CWC      CWC      CWC      CWC      ETM      CWC      ETM      
PTC      AS       CWC      CWC      CWC      CWC      ETM      CWC      CWC      
PTC      AS       CWC      CWC      CWC      CWC      CWC      CWC      CWC      
DiTP     AS       CWC      CWC      CWC      CWC      CWC      CWC      CWC      
DeTP     AS       CWC      CWC      CWC      CWC      CWC      CWC      CWC      
DiTP     AS       CWC      CWC      CWC      CWC      CWC      CWC      CWC      
DiTP     WFP      CWC      CWC      CWC      CWC      CWC      CWC      CWC      
DeTP     WFP      CWC      CWC      CWC      CWC      CWC      CWC      CWC      
DiTP     WFP      CWC      CWC      CWC      CWC      CWC      CWC      CWC      
DeTP     WFP      CWC      CWC      CWC      CWC      CWC      CWC      CWC      
DiTP     WFP      CWC      CWC      CWC      CWC      CWC      CWC      CWC      
DeTP     WFP      CWC      CWC      CWC      CWC      CWC      CWC      CWC      
DiTP     WFP      CWC      CWC      CWC      CWC      CWC      CWC      CWC      
DeTP     WFP      CWC      CWC      CWC      CWC      CWC      CWC      CWC      
DiTP     WFP      CWC      CWC      CWC      CWC      CWC      CWC      CWC      
